Numéro ANFR,Date dernière demande ANFR,Date dernière décision ANFR,Lieu-dit,Adresse 1,Adresse 2,Adresse 3,Code INSEE de la commune,Ville issue du code INSEE,Numéro du support,Support mutualisé oui/non,Stations sur le support,Nature du support,Hauteur du support,Latitude,Longitude,Altitude à la base NGF,Numéro de l'aérien,Azimut (degrés),Hauteur de l'antenne / sol
0592751606,17/04/2025,07/11/2025,,63 R KLÉBER,,,59220,FACHES-THUMESNIL,3092295,non,,Immeuble,"17,3",50°35'25''N,3°4'26''E,56,9730802,75.0,"16,2"
0592751606,17/04/2025,07/11/2025,,63 R KLÉBER,,,59220,FACHES-THUMESNIL,3092295,non,,Immeuble,"17,3",50°35'25''N,3°4'26''E,56,9730804,200.0,"16,2"
0592751606,17/04/2025,07/11/2025,,63 R KLÉBER,,,59220,FACHES-THUMESNIL,3092295,non,,Immeuble,"17,3",50°35'25''N,3°4'26''E,56,9730800,330.0,"16,2"
0592751576,12/09/2024,11/10/2024,,GARE LILLE EUROPE,AV LE CORBUSIER,,59350,LILLE,3025788,non,,Bâtiment,13,50°38'24''N,3°4'29''E,25,9430041,150.0,"4,5"
0592751576,12/09/2024,11/10/2024,,GARE LILLE EUROPE,AV LE CORBUSIER,,59350,LILLE,3025788,non,,Bâtiment,13,50°38'24''N,3°4'29''E,25,9430039,123.0,2
0592751576,12/09/2024,11/10/2024,,GARE LILLE EUROPE,AV LE CORBUSIER,,59350,LILLE,3025788,non,,Bâtiment,13,50°38'24''N,3°4'29''E,25,9430045,118.0,2
0592751576,12/09/2024,11/10/2024,,GARE LILLE EUROPE,AV LE CORBUSIER,,59350,LILLE,3025788,non,,Bâtiment,13,50°38'24''N,3°4'29''E,25,9430043,290.0,"4,5"
0592751576,12/09/2024,11/10/2024,,GARE LILLE EUROPE,AV LE CORBUSIER,,59350,LILLE,3025788,non,,Bâtiment,13,50°38'24''N,3°4'29''E,25,9430037,345.0,2
0592751575,23/08/2024,20/09/2024,,32 BD DE MULHOUSE,,,59512,ROUBAIX,3019557,non,,Bâtiment,"29,4",50°41'7''N,3°11'41''E,21,9405021,285.0,28
0592751575,23/08/2024,20/09/2024,,32 BD DE MULHOUSE,,,59512,ROUBAIX,3019557,non,,Bâtiment,"29,4",50°41'7''N,3°11'41''E,21,9405017,70.0,28
0592751575,23/08/2024,20/09/2024,,32 BD DE MULHOUSE,,,59512,ROUBAIX,3019557,non,,Bâtiment,"29,4",50°41'7''N,3°11'41''E,21,9405019,185.0,28
0592751573,24/02/2025,28/03/2025,,84 RUE FRANCOIS HERBO,,,59449,ORCHIES,3007065,oui,,Bâtiment,"54,6",50°28'46''N,3°14'50''E,34,9353348,60.0,"46,1"
0592751573,24/02/2025,28/03/2025,,84 RUE FRANCOIS HERBO,,,59449,ORCHIES,3007065,oui,,Bâtiment,"54,6",50°28'46''N,3°14'50''E,34,9353350,180.0,"46,1"
0592751573,24/02/2025,28/03/2025,,84 RUE FRANCOIS HERBO,,,59449,ORCHIES,3007065,oui,,Bâtiment,"54,6",50°28'46''N,3°14'50''E,34,9353352,300.0,"46,1"
0592751566,06/07/2024,09/08/2024,,9 R DES COULONS,,,59599,TOURCOING,3004959,non,,Immeuble,"21,3",50°43'24''N,3°8'52''E,"47,8",9344710,70.0,"20,2"
0592751566,06/07/2024,09/08/2024,,9 R DES COULONS,,,59599,TOURCOING,3004959,non,,Immeuble,"21,3",50°43'24''N,3°8'52''E,"47,8",9344712,200.0,"20,2"
0592751566,06/07/2024,09/08/2024,,9 R DES COULONS,,,59599,TOURCOING,3004959,non,,Immeuble,"21,3",50°43'24''N,3°8'52''E,"47,8",9344708,320.0,"20,2"
0592751563,26/06/2024,26/07/2024,,42-44 RUE PIERRE CURIE,,,59350,LILLE,3000953,oui,,Immeuble,20,50°38'1''N,3°6'34''E,26,9326038,95.0,"17,5"
0592751563,26/06/2024,26/07/2024,,42-44 RUE PIERRE CURIE,,,59350,LILLE,3000953,oui,,Immeuble,20,50°38'1''N,3°6'34''E,26,9326036,275.0,"17,5"
0592751563,26/06/2024,26/07/2024,,42-44 RUE PIERRE CURIE,,,59350,LILLE,3000953,oui,,Immeuble,20,50°38'1''N,3°6'34''E,26,9326040,185.0,"17,5"
0592751553,25/04/2024,27/05/2024,,303 AVENUE DES NATIONS UNIES,ROND POINT JEAN MONNET,,59512,ROUBAIX,2972558,non,,Bâtiment,"23,2",50°41'34''N,3°10'37''E,19,9202917,10.0,"21,8"
0592751553,25/04/2024,27/05/2024,,303 AVENUE DES NATIONS UNIES,ROND POINT JEAN MONNET,,59512,ROUBAIX,2972558,non,,Bâtiment,"23,2",50°41'34''N,3°10'37''E,19,9202921,200.0,"21,8"
0592751553,25/04/2024,27/05/2024,,303 AVENUE DES NATIONS UNIES,ROND POINT JEAN MONNET,,59512,ROUBAIX,2972558,non,,Bâtiment,"23,2",50°41'34''N,3°10'37''E,19,9202919,100.0,"21,8"
0592751548,18/04/2024,17/05/2024,,105 R DU CHATEAU DELATTRE (RESIDENCE DELATTRE),,,59178,DOUAI,2970612,oui,,Immeuble,37,50°23'45''N,3°4'54''E,22,9192186,0.0,"35,2"
0592751548,18/04/2024,17/05/2024,,105 R DU CHATEAU DELATTRE (RESIDENCE DELATTRE),,,59178,DOUAI,2970612,oui,,Immeuble,37,50°23'45''N,3°4'54''E,22,9192188,90.0,"35,2"
0592751548,18/04/2024,17/05/2024,,105 R DU CHATEAU DELATTRE (RESIDENCE DELATTRE),,,59178,DOUAI,2970612,oui,,Immeuble,37,50°23'45''N,3°4'54''E,22,9192190,180.0,"35,2"
